ref_id,original_authors,original_year,original_title,pub_title,journal_abbrev,volume,doi_extracted,doi_final,lang,pub_title_en,source_type,author_count,is_complete,flags
REF-00001,(author TBC),2026,IntD home design. Buildings 16(3):489. MDPI. [GREY — full citation unverified; DOI required],IntD home design. MDPI,Buildings,16,,,en,,journal_article,,0,
REF-00002,"Quesada-Cubo, V. et al.",2025,Inclusive housing environments for IntD: SR (73 studies). J Appl Res Intell Disabil. PMID:41201449,Inclusive housing environments for IntD,,,,10.1111/jar.70142,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00003,NDIA,2019,NDIS SDA Design Standard — Improved Liveability,NDIS SDA Design Standard — Improved Liveability,,,,,en,,standard,1,1,
REF-00004,"Castell, S.",2008,Designing for People with Dementia and Other Cognitive Disabilities,Designing for People with Dementia and Other Cognitive Disabilities,,,,,en,,standard,1,1,
REF-00005,CSA Group,2023,CAN/CSA B651:23 s.4.7 — qualitative IntD provisions,CAN/CSA B651:23 s.4.7 — qualitative IntD provisions,,,,,fr,,standard,1,1,NEEDS_TRANSLATION
REF-00006,"Lindsay, S. et al.",2024,Accessible independent housing for people with disabilities: scoping review. PLoS ONE 19(1):e0291228,Accessible independent housing for people with disabilities,,,10.1371/journal.pone.0291228,10.1371/journal,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00007,"Marquardt, G. & Schmieg, P.",2009,Dementia-friendly architecture: wayfinding in nursing homes. HERD,Dementia-friendly architecture,,,,10.1177/1533317509334959,en,,,2,1,SOURCE_TYPE_UNKNOWN
REF-00008,"van der Ham, I. et al.",2021,Navigation ability in ABI patients: population-wide online study. Neuropsychol Rehabil,Navigation ability in ABI patients,,,,10.1080/09602011.2021.1893192,nl,,,1,0,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00009,"Antonakos, C. et al.",2004,Wayfinding with visuo-spatial impairment from stroke/TBI. Disabil Stud Q 24(3),Wayfinding with visuo-spatial impairment from stroke/TBI. Disabil Stud Q 24(3),,,,10.18061/dsq.v24i3.508,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00010,"Hamre, C. et al.",2020,Spatial navigation impairment in mild stroke patients. Top Stroke Rehabil 27(8):601–609. DOI:10.1080,Spatial navigation impairment in mild stroke patients,Top Stroke Rehabil,27,10.1080/10749357.2020.1755814,10.1080/10749357.2020.1755814,en,,journal_article,1,0,ET_AL_INCOMPLETE
REF-00011,"Iwarsson, S. & Ståhl, A.",2003,"Accessibility, usability and universal design. Disabil Rehabil 25(2):57–66","Accessibility, usability and universal design",Disabil Rehabil,25,,10.1080/dre.25.2.57.66,en,,journal_article,2,1,
REF-00012,(author TBC),2023,Housing accessibility and rehabilitation outcomes after stroke. OTJR. PMC10621028,Housing accessibility and rehabilitation outcomes after stroke. OTJR. PMC1062102,,,,,en,,,,0,SOURCE_TYPE_UNKNOWN
REF-00013,"Claessen, M.H.G. & van der Ham, I.J.M.",2017,Classification of navigation impairment: SR of neuropsychological case studies. Neurosci Biobehav Re,Classification of navigation impairment,,,10.1016/j.neubiorev.2016.12.015,10.1016/j.neubiorev.2016.12.015,en,,,2,1,SOURCE_TYPE_UNKNOWN
REF-00014,"Claessen, M.H.G. et al.",2017,Navigation impairment in chronic stroke: three distinct types. Neuropsychologia 103:154–161. DOI:10.,Navigation impairment in chronic stroke,,,10.1016/j.neuropsychologia.2017.07.001,10.1016/j.neuropsychologia.2017.07.001,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00015,ISO,2019,ISO 23599:2019 — Assistive products for VIS: tactile walking surface indicators,ISO 23599:2019 — Assistive products for VIS,,,,,en,,standard,1,1,
REF-00016,MOHURD,2012,GB 50763-2012 §3.2 — 盲道 specifications,GB 50763-2012 §3.2 — 盲道 specifications,,,,,ja,Tactile guiding block (blister/corduroy paving) specifications,standard,1,1,
REF-00017,MLIT / JIS,2006,MLIT BF Law + JIS T 9251:2006 — 点字ブロック,MLIT BF Law + JIS T 9251:2006 — 点字ブロック,,,,,ja,Tactile paving blocks (braille blocks),standard,2,1,
REF-00018,DIN,2011,DIN 32984:2011-10 — Bodenindikatoren im öffentlichen Raum,DIN 32984:2011-10 — Bodenindikatoren im öffentlichen Raum,,,,,de,,standard,1,1,NEEDS_TRANSLATION
REF-00019,ABNT,2024,NBR 16537:2024 — Sinalização tátil no piso,NBR 16537:2024 — Sinalização tátil no piso,,,,,pt,,standard,1,1,NEEDS_TRANSLATION
REF-00020,Korean Government,n.d.,편의증진법 시행규칙 별표1 §3 — 시각장애인 유도 블록,편의증진법 시행규칙 별표1 §3 — 시각장애인 유도 블록,,,,,ko,"Enforcement rules of the Act on Convenience Promotion, Annex 1 §3 — tactile guidance blocks for visually impaired persons",standard,1,1,
REF-00021,한국시각장애인연합회,n.d.,Tactile route advocacy publications,Tactile route advocacy publications,,,,,ko,Tactile route advocacy publications,,1,1,SOURCE_TYPE_UNKNOWN
REF-00022,RNIB,2023,Building Sight: Design principles for accessible buildings and environments,Building Sight,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00023,"D'Souza, C. et al.",2011,Wheeled mobility device dimensions. IDeA Center / Steinfeld. Assist Technol. DOI:10.1080/10400430903,Wheeled mobility device dimensions. IDeA Center / Steinfeld. Assist Technol,,,10.1080/10400430903496580,10.1080/10400430903496580,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00024,"Togni, G. et al.",2022,[GREY — full citation unverified; DOI required],,,,,,da,,grey,1,0,SHORT_TITLE|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00025,"Al Lawati, Z., Kirby, R.L. et al.",2017,Getting a Manual Wheelchair Over a Threshold Using the Momentum Method. *Arch Phys Med Rehabil* 98(1,Getting a Manual Wheelchair Over a Threshold Using the Momentum Method. *Arch Ph,,,10.1016/j.apmr.2017.04.023,10.1016/j.apmr.2017.04.023,en,,,2,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
