session | batches | tokens | calls | hours | search_executions+ | evidence_sources+ | source_value_extractions+ | search_candidates+ | net rows+ | tok/search | tok/net row
e124fa82 | 08 | 116M | 240 | 1.3 | 4 | 5 | 8 | 8 | 93 | 29.1M | 1.25M
2aa77402 | 09 | 103M | 293 | 2.3 | 10 | 2 | 3 | 6 | 48 | 10.3M | 2.15M
cb2e5827 | 10?-12 | 183M | 440 | 2.7 | 11 | 7 | 11 | 9 | 145 | 16.6M | 1.26M
fbab52c8 | 13-14 | 114M | 294 | 3.7 | 6 | 2 | 4 | 4 | 105 | 19.1M | 1.09M
3ff1e851 | 15 (+content review) | 281M | 695 | 19.2 | 6 | 4 | 7 | 8 | 138 | 46.8M | 2.04M
616bcdf9 | 16-17 | 234M | 512 | 3.2 | 12 | 5 | 8 | 19 | 124 | 19.5M | 1.89M
0e701d1b | 18 | 42M | 166 | 0.6 | 10 | 1 | 4 | 1 | 35 | 4.2M | 1.20M
ca1ae452 | 19 | 211M | 432 | 3.6 | 4 | 1 | 3 | 10 | 35 | 52.7M | 6.03M
556a3270 | 06-07 (+infra) | 607M | 1060 | 7.6 | -18 | -11 | -4 | -17 | 152 | -33.7M | 3.99M
6a6f63cd | 04-05 (+infra) | 605M | 1215 | 175.7 | 15 | -1 | 0 | 15 | 161 | 40.3M | 3.76M
